DIPID	UniProtKB AC
DIP-34638N	P50402
DIP-46087N	Q14061
DIP-33544N	P20823
DIP-46090N	Q8VI67
DIP-44044N	P26233
DIP-30985N	P27361
DIP-42180N	P53004
DIP-46092N	Q9JII7
DIP-46068N	Q9P2R3
DIP-29369N	P25786
DIP-46112N	Q96D96
DIP-46114N	P03135
DIP-41998N	Q9HC29
DIP-42816N	Q15382
DIP-40821N	Q13393
DIP-46121N	P17693
DIP-46136N	P04512
DIP-33171N	Q16658
DIP-46151N	Q9HD67
DIP-46162N	Q3U182
DIP-39973N	Q13131
DIP-31321N	Q7KZI7
DIP-35251N	P63172
DIP-34554N	P60880
DIP-39854N	Q14765
DIP-46153N	P09382
DIP-35654N	Q12778
DIP-32709N	Q13569
DIP-46140N	P42224
DIP-46234N	Q6J8I9
DIP-46275N	Q8IZJ1
DIP-46289N	Q96D31
DIP-46025N	P25961
DIP-36336N	Q92542
DIP-46192N	O15550
DIP-46196N	A4ZNP8
DIP-46197N	Q6PL18
DIP-33881N	P60763
DIP-46208N	P07320
DIP-33068N	O14965
DIP-46212N	Q9ULW0
DIP-46227N	Q91LX9
DIP-34896N	O75943
DIP-36433N	P40937
DIP-35053N	P11474
DIP-46143N	Q6Q477
DIP-46144N	Q14524
DIP-31054N	Q9ERI2
DIP-44046N	Q9BV36
DIP-33217N	O75340
DIP-30997N	Q9Y5X1
DIP-46261N	Q96CS3
DIP-46263N	P14738
DIP-41263N	P31424
DIP-41775N	P07305
DIP-39785N	Q13882
DIP-46274N	Q9HB63
DIP-46273N	O95631
DIP-46272N	Q92859
DIP-46277N	Q149N8
DIP-46282N	P03495
DIP-41448N	Q14653
DIP-46288N	Q13976
DIP-46290N	P61073
DIP-46292N	P55064
DIP-32862N	P21796
DIP-34427N	Q13227
DIP-46314N	P97947
DIP-46313N	Q15466
DIP-29267N	P62837
DIP-46350N	Q77YG0
DIP-38005N	O88508
DIP-46371N	P78504
DIP-46380N	Q9IH62
DIP-46379N	O89343
DIP-33123N	Q9UM54
DIP-46388N	Q15814
DIP-46348N	Q13568
DIP-30000N	Q9UBC3
DIP-36659N	Q9D0J4
DIP-6124N	P68036
DIP-46403N	P0A2M9
DIP-46410N	Q8IWE5
DIP-39879N	P51149
DIP-38956N	Q8TAD8
DIP-35345N	P17676
DIP-46417N	P32300
DIP-33700N	Q92843
DIP-35580N	O00303
DIP-32880N	Q9UBQ5
DIP-31256N	Q7L2H7
DIP-32691N	P60228
DIP-46402N	P58400
DIP-33689N	O15372
DIP-38198N	O94813
DIP-46251N	Q6UX71
DIP-40928N	Q14118
DIP-46247N	P09055
DIP-46248N	P70180
DIP-46259N	Q9UBV2
DIP-37493N	Q13438
DIP-46287N	O76074
DIP-42852N	P42262
DIP-46108N	Q91ZK0
DIP-24067N	Q24368
DIP-46308N	P34982
DIP-46262N	Q8VEB1
DIP-46245N	Q6EMK4
DIP-46206N	P27352
DIP-46217N	Q8AXF4
DIP-29592N	Q05152
DIP-31597N	P84077
DIP-35138N	O60603
DIP-46372N	P11498
DIP-38196N	P05023
DIP-46237N	Q99P58
DIP-37519N	Q9HC16
DIP-46421N	P02879
DIP-35445N	Q7Z434
DIP-46446N	Q9NZ45
DIP-46456N	Q08048
DIP-46461N	O94907
DIP-46462N	Q96MU8
DIP-46463N	O94992
DIP-34637N	P27448
DIP-46467N	Q8BGY9
DIP-46469N	P09681
DIP-46470N	P01275
DIP-46476N	P06276
DIP-45385N	P35963
DIP-1042N	P00519
DIP-35308N	Q13535
DIP-46501N	Q5I0H3
DIP-5772N	P42703
DIP-46466N	O94817
DIP-30846N	P51693
DIP-32874N	P11142
DIP-33543N	P55072
DIP-31047N	Q06481
DIP-37761N	Q92783
DIP-29757N	Q96EB6
DIP-32865N	Q99613
DIP-5718N	Q03351
DIP-35772N	Q15054
DIP-44954N	A5YKK6
DIP-40438N	O94979
DIP-5974N	P45481
DIP-38700N	Q9UM11
DIP-17011N	Q13309
DIP-42209N	P15127
DIP-47626N	Q86SZ2
DIP-47627N	O43617
DIP-33087N	Q9H0H5
DIP-36660N	O43924
DIP-47537N	P36405
DIP-43982N	Q86TM6
DIP-29138N	P62491
DIP-46839N	Q9H9A5
DIP-33197N	O15144
DIP-33681N	P49327
DIP-39484N	P27708
DIP-48282N	Q7Z392
DIP-48284N	A5PLN9
DIP-37871N	Q9Y296
DIP-33187N	O15145
DIP-48285N	Q9Y5R8
DIP-46973N	Q8IY67
DIP-31010N	P27870
DIP-37579N	Q9NV70
DIP-42040N	P78380
DIP-48456N	Q9H6P5
DIP-32911N	P19387
DIP-48288N	P68466
DIP-48294N	P54764
DIP-46378N	P52799
DIP-48296N	P52803
DIP-47535N	P36404
DIP-29050N	O14964
DIP-287N	Q6PAL8
DIP-31346N	P52564
DIP-36474N	Q8NG31
DIP-48295N	P52798
DIP-48336N	Q8C669
DIP-31805N	P61978
DIP-39699N	Q16832
DIP-29923N	Q9H3S7
DIP-35515N	Q99497
DIP-48356N	P32418
DIP-48376N	Q92759
DIP-34585N	Q9H9B1
DIP-38452N	Q99684
DIP-24251N	P03070
DIP-31807N	Q9Y5K6
DIP-31244N	P50570
DIP-34291N	P15153
DIP-31095N	Q92556
DIP-40037N	P08648
DIP-31672N	O75051
DIP-48396N	P20393
DIP-48397N	Q6I9S1
DIP-47496N	Q9H8V3
DIP-34436N	O43663
DIP-48413N	Q9BRP8
DIP-33851N	P49023
DIP-41431N	P15976
DIP-40307N	P29320
DIP-35287N	Q8IX03
DIP-31795N	Q96KP1
DIP-33186N	O14974
DIP-33398N	Q14315
DIP-41933N	P05019
DIP-35353N	P54253
DIP-31207N	P62314
DIP-34627N	P62308
DIP-674N	P35439
DIP-48449N	P14621
DIP-24235N	P07992
DIP-48473N	Q16873
DIP-35570N	P18206
DIP-32964N	O94762
DIP-31380N	Q14191
DIP-46460N	O88572
DIP-42637N	O35625
DIP-32912N	O15514
DIP-41788N	Q9Y5B0
DIP-38172N	Q9BQA1
DIP-32910N	P30876
DIP-32917N	P36954
DIP-41194N	P27671
DIP-33322N	P54132
DIP-33405N	O15131
DIP-48536N	Q96QV1
DIP-31657N	Q13322
DIP-39343N	Q96QC0
DIP-48546N	Q6TVJ1
DIP-33404N	P70168
DIP-42615N	Q7KZ85
DIP-48477N	Q9H0H0
DIP-38211N	O43143
DIP-48478N	Q9H3P2
DIP-48479N	Q96CB8
DIP-48480N	P23193
DIP-41798N	Q99523
DIP-48484N	Q92945
DIP-31894N	P63101
DIP-38367N	P35658
DIP-39802N	Q8NEM0
DIP-48511N	Q80W00
DIP-48513N	O95149
DIP-48519N	Q9GZX7
DIP-27586N	O00505
DIP-31146N	Q9H1J1
DIP-48529N	Q8VZJ1
DIP-48530N	Q9FNE9
DIP-48534N	Q7LBR1
DIP-48533N	O43633
DIP-42546N	P53990
DIP-39072N	P63027
DIP-48538N	O43323
DIP-48541N	Q6XW05
DIP-1058N	P01111
DIP-48542N	Q6TVW2
DIP-48544N	Q6TVJ4
DIP-48545N	Q6TVJ2
DIP-34421N	Q13155
DIP-29973N	P55210
DIP-40959N	P52566
DIP-279N	Q15185
DIP-38642N	Q969F2
DIP-39391N	Q92558
DIP-37566N	Q9NYB9
DIP-48543N	Q6TVJ7
DIP-48550N	Q6NZI2
DIP-48563N	Q9P0M6
DIP-48588N	Q6GN08
DIP-40089N	P32121
DIP-48627N	Q7LG56
DIP-33605N	O60934
DIP-34598N	Q9UMN6
DIP-30934N	Q14686
DIP-48650N	O14607
DIP-29224N	Q15291
DIP-35528N	P37231
DIP-42310N	Q99570
DIP-29588N	Q9H3D4
DIP-48552N	Q6DFI7
DIP-35670N	Q00613
DIP-35014N	Q8CJG0
DIP-46843N	Q60809
DIP-48570N	Q9DHW0
DIP-48580N	P0C6U8
DIP-38526N	Q16795
DIP-48598N	O15554
DIP-41063N	P78406
DIP-711N	P46939
DIP-38185N	P49790
DIP-37654N	P49792
DIP-38203N	Q14997
DIP-48604N	Q14781
DIP-40046N	P84243
DIP-48606N	Q71DI3
DIP-29371N	P68431
DIP-48605N	O95503
DIP-44111N	Q60994
DIP-46924N	Q9Y2Q3
DIP-34895N	Q92985
DIP-48629N	Q96AY2
DIP-48631N	Q9BTM9
DIP-42272N	Q8NEB9
DIP-32484N	P52948
DIP-48656N	Q4FZB7
DIP-48662N	Q8N1L9
DIP-38657N	Q13418
DIP-48667N	Q9IW12
DIP-44588N	P24723
DIP-42791N	Q16625
DIP-48670N	Q14114
DIP-37884N	Q6P1J9
DIP-48676N	Q9UN81
DIP-27562N	Q93008
DIP-48683N	Q5U349
DIP-27611N	Q8TAQ2
DIP-48685N	Q9P2D1
DIP-35136N	Q9UBT2
DIP-48687N	Q8N138
DIP-29362N	P32883
DIP-44941N	P00441
DIP-48483N	Q8N4Q1
DIP-48540N	Q9R8E4
DIP-44185N	P54105
DIP-48551N	Q8NHZ8
DIP-48632N	Q7Z7A3
DIP-44121N	Q9H171
DIP-48857N	Q9H2X0
DIP-31454N	Q71SY5
DIP-48830N	Q7Z4H7
DIP-48699N	P15085
DIP-48702N	Q8CII8
DIP-30886N	P27540
DIP-48718N	P25101
DIP-34630N	O15169
DIP-48719N	P46736
DIP-32875N	P04083
DIP-48727N	O15431
DIP-48746N	Q3U7R1
DIP-38319N	P00751
DIP-48753N	O43572
DIP-31595N	P70399
DIP-41480N	O00499
DIP-48764N	Q89246
DIP-48758N	Q9QMH9
DIP-31627N	Q8N5D0
DIP-48763N	Q96JK2
DIP-48760N	Q5T6F0
DIP-39709N	Q7L7X3
DIP-41172N	P33151
DIP-48768N	P23415
DIP-48770N	P70302
DIP-48658N	A7U8D3
DIP-31693N	Q6PD62
DIP-42506N	Q92797
DIP-48673N	Q8N7H5
DIP-48674N	Q12996
DIP-36672N	Q9GZS3
DIP-34362N	Q7Z6Z7
DIP-32509N	Q9NPI1
DIP-48689N	Q07120
DIP-48691N	P08228
DIP-48692N	Q9WU84
DIP-32353N	P63017
DIP-46965N	Q61316
DIP-32350N	P63037
DIP-40262N	P05091
DIP-31613N	P11940
DIP-29353N	P49615
DIP-445N	P46414
DIP-39693N	P26358
DIP-46874N	Q02363
DIP-48793N	Q96G30
DIP-48789N	Q01726
DIP-48791N	P32245
DIP-48792N	P33032
DIP-48790N	P41968
DIP-48794N	Q9Y6D5
DIP-42197N	Q14432
DIP-48795N	Q7Z6A9
DIP-31610N	Q13619
DIP-31463N	Q9Y2X0
DIP-31459N	Q93074
DIP-31468N	Q9UHV7
DIP-39795N	P05129
DIP-48825N	O95994
DIP-32974N	Q99871
DIP-48832N	Q68CZ6
DIP-48837N	Q9H6D7
DIP-38427N	Q86YC2
DIP-48842N	P55087
DIP-48848N	P09913
DIP-27529N	Q9UHD2
DIP-37898N	P09914
DIP-29361N	Q61411
DIP-33403N	P13497
DIP-48847N	Q86WV6
DIP-38249N	Q13177
DIP-42865N	Q9QXA3
DIP-21094N	P33450
DIP-44940N	Q13635
DIP-42429N	P25098
DIP-31462N	O75448
DIP-34368N	P10644
DIP-29227N	P62871
DIP-48897N	Q9BWW4
DIP-32496N	Q12873
DIP-44025N	Q9C0K0
DIP-48919N	Q9NRW3
DIP-48922N	O95461
DIP-48921N	O43505
DIP-48924N	Q8IVH8
DIP-48929N	Q12809
DIP-32635N	Q9H9E3
DIP-48932N	Q14392
DIP-48933N	Q86WJ1
DIP-48657N	A7U8D2
DIP-31461N	Q9ULK4
DIP-48920N	P89903
DIP-48931N	Q9Y2V7
DIP-48947N	Q8IXB1
DIP-31727N	Q14566
DIP-48998N	Q01668
DIP-31088N	O75496
DIP-33167N	Q6FI13
DIP-48935N	O60814
DIP-42757N	Q9Y5B9
DIP-48937N	P40967
DIP-41418N	Q9WU78
DIP-48941N	O55005
DIP-48942N	Q8TEY7
DIP-46857N	P62494
DIP-31121N	Q13586
DIP-48946N	Q8IWF2
DIP-48949N	Q8NFW9
DIP-48951N	Q9Y5I7
DIP-48954N	Q9Z0S6
DIP-48952N	Q9Z0S6
DIP-48953N	Q8N6F1
DIP-48956N	P56857
DIP-48955N	P56856
DIP-48958N	Q9BT67
DIP-41935N	Q96PU5
DIP-31725N	O75419
DIP-31732N	P49736
DIP-29334N	Q9BRT9
DIP-48970N	Q9H0R6
DIP-48973N	Q16790
DIP-48977N	Q9Y698
DIP-35132N	P27782
DIP-42001N	Q96CV9
DIP-45617N	P98082
DIP-33091N	Q13191
DIP-41797N	Q9BXL7
DIP-48997N	Q9H2S1
DIP-48999N	Q9UGP5
DIP-34518N	O95967
DIP-48945N	Q9BRQ5
DIP-49011N	Q9BW66
DIP-35698N	P48995
DIP-44689N	Q9BYF1
DIP-49015N	P84228
DIP-49016N	P03231
DIP-5735N	P04085
DIP-33237N	Q9Y496
DIP-49017N	Q12955
DIP-41115N	Q08499
DIP-33678N	O14980
DIP-32507N	P08670
DIP-48934N	Q9UGN5
DIP-37674N	Q16602
DIP-32943N	Q15287
DIP-33129N	Q13557
DIP-39705N	Q9UQM7
DIP-35679N	P61081
DIP-32870N	O15371
DIP-31114N	Q14152
DIP-35051N	P60520
DIP-50750N	P60604
DIP-33828N	Q9NRI5
DIP-29042N	O00401
DIP-50647N	Q9HD42
DIP-52778N	Q96EQ8
DIP-32682N	P68400
DIP-53216N	Q10589
DIP-52297N	P49450
DIP-33079N	P62805
DIP-31028N	P11308
DIP-56410N	Q8TEK3
DIP-39650N	Q6IAA8
DIP-42668N	Q16186
DIP-42188N	P49257
DIP-32877N	P22626
DIP-33061N	Q9HAU4
DIP-42252N	O15105
DIP-38538N	Q15797
DIP-40815N	Q12972
DIP-34068N	O00170
DIP-51621N	Q5VSL9
DIP-51635N	Q9ULQ0
DIP-40608N	Q9Y6E0
DIP-33495N	Q09028
DIP-42075N	Q99627
DIP-32655N	Q7L5N1
DIP-42077N	Q13098
DIP-41158N	Q96FW1
DIP-53590N	P62068
DIP-53609N	O94782
DIP-34546N	Q92905
DIP-53525N	Q9H9Q2
DIP-53412N	Q9UBW8
DIP-42076N	P61201
DIP-47004N	Q92560
DIP-31117N	O75822
DIP-50708N	Q504Q3
DIP-40839N	P46937
DIP-30972N	O35613
DIP-48835N	Q96CS2
DIP-56450N	Q9UJX5
DIP-56455N	Q9BS18
DIP-32940N	Q9H1A4
DIP-36422N	P30260
DIP-37518N	Q5VZM2
DIP-57000N	Q9Y2Q5
DIP-46519N	O94776
DIP-58520N	P00740
DIP-31504N	Q08211
DIP-37655N	O60260
DIP-39894N	O35082
DIP-58507N	Q9GZV9
DIP-58572N	P01594
DIP-45494N	Q92833
DIP-34187N	P05771
DIP-50406N	P00491
DIP-49453N	Q921C5
DIP-37584N	Q12840
DIP-53426N	Q8TD16
DIP-58583N	O60494
DIP-58584N	Q14669
DIP-47265N	O75197
DIP-58592N	P56704
DIP-56190N	Q8J025
DIP-43977N	Q9WTL8
DIP-30958N	O08785
DIP-58598N	Q7BMV7
DIP-41617N	Q495M9
DIP-1063N	P62820
DIP-50593N	P50395
DIP-58610N	D3W0D1
DIP-58612N	Q92478
DIP-58611N	Q6UVW9
DIP-31100N	P26718
DIP-58613N	Q9NZS2
DIP-34467N	O00444
DIP-39067N	P18887
DIP-55771N	P14735
DIP-34071N	Q06187
DIP-58639N	P16581
DIP-58638N	O00592
DIP-52791N	P43121
DIP-38423N	P43146
DIP-58643N	Q14654
DIP-27535N	Q00653
DIP-33041N	Q969G3
DIP-29751N	Q9WUD1
DIP-29060N	Q9UKV5
DIP-46662N	Q15011
DIP-58649N	Q9JHI9
DIP-58650N	Q06945
DIP-58524N	O94916
DIP-58525N	P04578
DIP-35655N	P08727
DIP-33557N	P21980
DIP-31605N	P53667
DIP-29394N	P30153
DIP-58064N	P57058
DIP-5738N	P49767
DIP-49933N	P10451
DIP-42073N	P70218
DIP-32243N	P11881
DIP-6031N	Q61851
DIP-6033N	P16092
DIP-58523N	P20916
DIP-41064N	Q9Y239
DIP-58546N	Q642G4
DIP-27554N	P35998
DIP-29367N	P60900
DIP-27572N	P51665
DIP-37632N	O95714
DIP-58642N	Q09428
DIP-56796N	Q9BUR4
DIP-35541N	P01552
DIP-6043N	P10747
DIP-35606N	P42081
DIP-53428N	Q9UL15
DIP-39355N	P30533
DIP-32869N	Q9NSD9
DIP-46878N	P02749
DIP-36479N	P50748
DIP-58980N	Q9J4B7
DIP-39770N	Q13554
DIP-51315N	Q13555
DIP-41906N	Q14012
DIP-38503N	P38432
DIP-43904N	Q86Y01
DIP-42766N	Q9DCH4
DIP-29695N	P01130
DIP-42196N	Q86SQ0
DIP-33015N	O60333
DIP-38024N	O60447
DIP-44020N	Q8N1F7
DIP-58580N	Q92800
DIP-38524N	Q15022
DIP-58581N	Q6ZN18
DIP-29524N	Q61188
DIP-56045N	Q80U70
DIP-34240N	Q16512
DIP-53282N	Q8NCD3
DIP-30932N	P06748
DIP-33390N	Q96GM5
DIP-29523N	Q921E6
DIP-58998N	Q8AZ57
DIP-30882N	O35274
DIP-41487N	P42261
DIP-40850N	O35867
DIP-32478N	Q9UNS2
DIP-56726N	A2RRP1
DIP-50384N	Q16740
DIP-40309N	O95155
DIP-781N	P41236
DIP-59010N	Q4W5X0
DIP-39742N	O96013
DIP-30877N	Q15788
DIP-2654N	Q05516
DIP-44158N	Q9HCE1
DIP-38139N	Q9NZI8
DIP-41880N	P35227
DIP-47273N	Q96AE4
DIP-34636N	Q9UHX1
DIP-38616N	Q8VDS3
DIP-40363N	P61962
DIP-34464N	Q8IXK0
DIP-47624N	Q4G0J3
DIP-48612N	Q6P5F9
DIP-41232N	P15529
DIP-40767N	Q13291
DIP-41449N	P07949
DIP-59052N	P56159
DIP-56857N	Q8N5Y2
DIP-38165N	Q8IWV8
DIP-47033N	Q8IWV7
DIP-56176N	P61925
DIP-27597N	Q13451
DIP-41085N	P31948
DIP-59070N	E2RZS2
DIP-42669N	Q9H816
DIP-33195N	Q92743
DIP-59078N	Q9BUI4
DIP-31555N	Q99N57
DIP-59044N	Q9H0M4
DIP-24233N	P23921
DIP-34646N	Q9H1D9
DIP-38136N	Q15365
DIP-42043N	Q06587
DIP-59023N	Q86WI1
DIP-38303N	P08603
DIP-47233N	O41957
DIP-30891N	Q13263
DIP-31167N	Q13148
DIP-31532N	P46100
DIP-59091N	Q08116
DIP-59090N	P59215
DIP-40869N	P49802
DIP-50368N	O43665
DIP-59095N	Q9UGC6
DIP-50536N	Q9UGJ1
DIP-59097N	Q9Y5W5
DIP-56109N	O14810
DIP-33880N	O60674
DIP-44088N	P51668
DIP-56211N	O15394
DIP-34501N	Q16630
DIP-45864N	P51943
DIP-50202N	Q9NRG4
DIP-38428N	Q9NPP4
DIP-3022N	P34244
DIP-56460N	O95997
DIP-42278N	P62995
DIP-33901N	Q9QZH6
DIP-53699N	Q9H845
DIP-32871N	P25705
DIP-58162N	P02545
DIP-34897N	P20700
DIP-57724N	Q03252
DIP-59208N	D5MTH0
DIP-59210N	D3YRZ7
DIP-41380N	P70166
DIP-43899N	Q15003
DIP-50011N	Q14766
DIP-59187N	P18564
DIP-53626N	Q9Y4X5
DIP-33491N	O15294
DIP-59195N	Q6VAB6
DIP-59196N	Q15768
DIP-47737N	Q9BYM8
DIP-57842N	Q9H0F6
DIP-44034N	Q96EP0
DIP-53004N	P55055
DIP-59203N	Q8C0P5
DIP-59204N	Q9EP97
DIP-519N	P28482
DIP-34065N	P19429
DIP-37188N	P11762
DIP-35406N	O14807
DIP-48936N	Q7L7L0
DIP-44200N	Q9UII4
DIP-59209N	P16749
DIP-59211N	Q6UUV7
DIP-37981N	P49757
DIP-42785N	P07858
DIP-41779N	P19332
DIP-50866N	Q02790
DIP-59215N	P0CE12
DIP-53288N	P14222
DIP-59219N	P00797
DIP-59221N	Q92854
DIP-43936N	Q96RD7
DIP-195N	P25454
DIP-37995N	Q53HL2
DIP-46369N	P08775
DIP-38577N	P02281
DIP-31241N	Q9BV86
DIP-2464N	P53297
DIP-33372N	Q99700
DIP-33948N	P07550
DIP-37029N	P54311
DIP-38593N	P0C0S5
DIP-57493N	P05165
DIP-59245N	Q92784
DIP-31800N	O43187
DIP-35694N	P20591
DIP-29931N	P20263
DIP-33440N	Q01860
DIP-606N	P21279
DIP-59104N	Q99467
DIP-36242N	Q05193
DIP-33284N	Q924X6
DIP-39993N	P43235
DIP-59150N	Q13075
DIP-39765N	Q9UJX3
DIP-40997N	P60468
DIP-59186N	P04910
DIP-34893N	Q08752
DIP-59212N	P20592
DIP-59149N	Q9JIB6
DIP-46461N	O94907
DIP-33700N	Q92843
DIP-33700N	Q92843
DIP-33556N	P25054
DIP-34662N	O15392
DIP-34662N	O15392
DIP-36670N	Q92466
DIP-33068N	O14965
DIP-35680N	Q86XK2
DIP-31606N	P63208
DIP-31606N	P63208
DIP-119N	P27986
DIP-42637N	O35625
DIP-34630N	O15169
DIP-42637N	O35625
DIP-27525N	Q9NYJ8
DIP-33605N	O60934
DIP-36242N	Q05193
DIP-29757N	Q96EB6
DIP-42669N	Q9H816
DIP-32788N	P13569
DIP-41085N	P31948
DIP-5735N	P04085
DIP-34362N	Q7Z6Z7
DIP-48396N	P20393
DIP-32709N	Q13569
DIP-48396N	P20393
DIP-33197N	O15144
DIP-34662N	O15392
DIP-33172N	O14744
DIP-44954N	A5YKK6
DIP-29221N	Q03164
DIP-38051N	O15055
DIP-42272N	Q8NEB9
DIP-34646N	Q9H1D9
DIP-29050N	O14964
DIP-30985N	P27361
DIP-44574N	P03120
DIP-33079N	P62805
DIP-199N	P46108
DIP-42252N	O15105
DIP-199N	P46108
DIP-33068N	O14965
DIP-36727N	Q9ULW0
DIP-31606N	P63208
DIP-42656N	Q9NZN8
DIP-33495N	Q09028
DIP-34641N	O60341
DIP-41064N	Q9Y239
DIP-5974N	P45481
DIP-35528N	P37231
DIP-119N	P27986
DIP-1053N	P17535
DIP-1053N	P17535
DIP-34630N	O15169
DIP-34630N	O15169
DIP-46151N	Q9HD67
DIP-46151N	Q9HD67
DIP-38427N	Q86YC2
DIP-34662N	O15392
DIP-17013N	Q13616
DIP-31606N	P63208
DIP-46162N	Q3U182
DIP-33880N	O60674
DIP-33091N	Q13191
DIP-29267N	P62837
DIP-38571N	Q9Y6Y9
DIP-30915N	Q14790
DIP-40089N	P32121
DIP-40089N	P32121
DIP-30891N	Q13263
DIP-33678N	O14980
DIP-48484N	Q92945
DIP-48484N	Q92945
DIP-48484N	Q92945
DIP-43776N	Q13351
DIP-43776N	Q13351
DIP-50866N	Q02790
DIP-34646N	Q9H1D9
DIP-27550N	Q12824
DIP-31610N	Q13619
DIP-33079N	P62805
DIP-33876N	P06241
DIP-33849N	P07947
DIP-33068N	O14965
DIP-29042N	O00401
DIP-29757N	Q96EB6
DIP-29757N	Q96EB6
DIP-35654N	Q12778
DIP-38538N	Q15797
DIP-31315N	Q8TEW0
DIP-31315N	Q8TEW0
DIP-32857N	Q99814
DIP-29221N	Q03164
DIP-29757N	Q96EB6
DIP-29757N	Q96EB6
DIP-46192N	O15550
DIP-46192N	O15550
DIP-30911N	Q14683
DIP-32943N	Q15287
DIP-33543N	P55072
DIP-41935N	Q96PU5
DIP-42252N	O15105
DIP-40302N	Q15223
DIP-41491N	Q9NQS3
DIP-46192N	O15550
DIP-30985N	P27361
DIP-31610N	Q13619
DIP-31612N	Q13617
DIP-31609N	Q13620
DIP-32682N	P68400
DIP-41933N	P05019
DIP-41935N	Q96PU5
DIP-41491N	Q9NQS3
DIP-41491N	Q9NQS3
DIP-29267N	P62837
DIP-48919N	Q9NRW3
DIP-40046N	P84243
DIP-40046N	P84243
DIP-27628N	Q9UER7
DIP-48606N	Q71DI3
DIP-33079N	P62805
DIP-29060N	Q9UKV5
DIP-29371N	P68431
DIP-31010N	P27870
DIP-29757N	Q96EB6
DIP-39028N	Q8WXF1
DIP-31379N	P13010
DIP-33172N	O14744
DIP-33172N	O14744
DIP-56410N	Q8TEK3
DIP-30919N	P78352
DIP-46466N	O94817
DIP-44611N	Q14457
DIP-44611N	Q14457
DIP-44566N	Q9HC52
DIP-29524N	Q61188
DIP-56045N	Q80U70
DIP-40646N	O14746
DIP-41798N	Q99523
DIP-29523N	Q921E6
DIP-41880N	P35227
DIP-32865N	Q99613
DIP-31114N	Q14152
DIP-32865N	Q99613
DIP-40607N	Q9BUL8
DIP-27515N	Q9Y4K3
DIP-1042N	P00519
DIP-31657N	Q13322
DIP-44689N	Q9BYF1
DIP-36660N	O43924
DIP-31613N	P11940
DIP-46192N	O15550
DIP-46192N	O15550
DIP-48534N	Q7LBR1
DIP-50647N	Q9HD42
DIP-50647N	Q9HD42
DIP-38220N	Q15019
DIP-29223N	P61964
DIP-40646N	O14746
DIP-33851N	P49023
DIP-48631N	Q9BTM9
DIP-48631N	Q9BTM9
DIP-47033N	Q8IWV7
DIP-58638N	O00592
DIP-34421N	Q13155
DIP-27529N	Q9UHD2
DIP-32691N	P60228
DIP-31256N	Q7L2H7
DIP-32865N	Q99613
DIP-31256N	Q7L2H7
DIP-31256N	Q7L2H7
DIP-31172N	Q9Y262
DIP-31172N	Q9Y262
DIP-33689N	O15372
DIP-31114N	Q14152
DIP-31117N	O75822
DIP-32691N	P60228
DIP-35580N	O00303
DIP-31117N	O75822
DIP-31172N	Q9Y262
DIP-31117N	O75822
DIP-35580N	O00303
DIP-32880N	Q9UBQ5
DIP-32870N	O15371
DIP-35580N	O00303
DIP-32870N	O15371
DIP-31172N	Q9Y262
DIP-32870N	O15371
DIP-32865N	Q99613
DIP-17013N	Q13616
DIP-31606N	P63208
DIP-29570N	Q15370
DIP-34641N	O60341
DIP-34641N	O60341
DIP-36698N	O14503
DIP-48631N	Q9BTM9
DIP-48631N	Q9BTM9
DIP-48631N	Q9BTM9
DIP-48631N	Q9BTM9
DIP-48631N	Q9BTM9
DIP-48631N	Q9BTM9
DIP-48631N	Q9BTM9
DIP-48631N	Q9BTM9
DIP-48631N	Q9BTM9
DIP-48631N	Q9BTM9
DIP-48631N	Q9BTM9
DIP-40034N	Q99496
DIP-40034N	Q99496
DIP-32877N	P22626
DIP-1063N	P62820
DIP-42607N	Q9BYX4
DIP-34291N	P15153
DIP-37959N	Q9H9Q4
DIP-47737N	Q9BYM8
DIP-41448N	Q14653
DIP-34630N	O15169
DIP-41797N	Q9BXL7
DIP-40646N	O14746
DIP-40646N	O14746
DIP-31606N	P63208
DIP-31606N	P63208
DIP-29221N	Q03164
DIP-31725N	O75419
DIP-27525N	Q9NYJ8
DIP-27525N	Q9NYJ8
DIP-29757N	Q96EB6
DIP-29757N	Q96EB6
DIP-40646N	O14746
DIP-40646N	O14746
DIP-29223N	P61964
DIP-41817N	Q9Y6W5
DIP-57842N	Q9H0F6
DIP-32585N	P40337
DIP-48550N	Q6NZI2
DIP-48550N	Q6NZI2
DIP-32682N	P68400
DIP-59N	P14635
DIP-32964N	O94762
DIP-59196N	Q15768
DIP-48294N	P54764
DIP-17013N	Q13616
DIP-55771N	P14735
DIP-55771N	P14735
DIP-55771N	P14735
DIP-46470N	P01275
DIP-33440N	Q01860
DIP-48550N	Q6NZI2
DIP-48550N	Q6NZI2
DIP-27515N	Q9Y4K3
DIP-38018N	Q15691
DIP-33091N	Q13191
DIP-34641N	O60341
DIP-31095N	Q92556
DIP-39973N	Q13131
DIP-34427N	Q13227
DIP-519N	P28482
DIP-35017N	P02511
DIP-33197N	O15144
DIP-29042N	O00401
DIP-41817N	Q9Y6W5
DIP-33543N	P55072
DIP-42043N	Q06587
DIP-40034N	Q99496
DIP-47737N	Q9BYM8
DIP-29223N	P61964
DIP-34598N	Q9UMN6
DIP-34598N	Q9UMN6
DIP-34598N	Q9UMN6
DIP-34598N	Q9UMN6
DIP-34598N	Q9UMN6
DIP-38172N	Q9BQA1
DIP-34598N	Q9UMN6
